GeneID	Symbol	Description	log2(fold change)(AkS vs lesion-PsA)	-log10(Pvalue)(AkS vs lesion-PsA)
102466751	MIR6859-1	microRNA 6859-1	1.036	1.531
102723897	WASH9P	WAS protein family homolog 9, pseudogene	0.523	1.31
112268260	LOC112268260	uncharacterized LOC112268260	-0.925	2.464
113219467	MIR12136	microRNA 12136	0.78	1.5
9636	ISG15	ISG15 ubiquitin like modifier	-2.829	10.053
112267874	LOC112267874	replaced by ID 105378948	-1.851	10.696
401934	RNF223	ring finger protein 223	-2.389	6.435
8784	TNFRSF18	TNF receptor superfamily member 18	0.738	2.232
7293	TNFRSF4	TNF receptor superfamily member 4	-1.465	6.1
118424	UBE2J2	ubiquitin conjugating enzyme E2 J2	-0.645	5.243
6339	SCNN1D	sodium channel epithelial 1 subunit delta	-1.5	3.696
109623456	SNORD167	small nucleolar RNA, C/D box 167	1.082	1.35
126789	PUSL1	pseudouridine synthase like 1	-0.877	3.992
54998	AURKAIP1	aurora kinase A interacting protein 1	-0.6	2.157
55052	MRPL20	mitochondrial ribosomal protein L20	-0.562	1.411
105378585	ANKRD65-AS1	ANKRD65 antisense RNA 1	0.95	2.831
55210	ATAD3A	ATPase family AAA domain containing 3A	-0.789	3.695
643988	FNDC10	fibronectin type III domain containing 10	-0.805	2.309
8510	MMP23B	matrix metallopeptidase 23B	0.589	1.751
728661	SLC35E2B	solute carrier family 35 member E2B	0.555	1.422
8511	MMP23A	matrix metallopeptidase 23A (pseudogene)	0.659	1.616
9906	SLC35E2A	solute carrier family 35 member E2A	0.789	2.159
2563	GABRD	gamma-aminobutyric acid type A receptor subunit delta	1.085	1.851
100506504	PRKCZ-AS1	PRKCZ antisense RNA 1	1.197	2.432
6497	SKI	SKI proto-oncogene	0.589	2.287
100129534	LOC100129534	small nuclear ribonucleoprotein polypeptide N pseudogene	1.286	2.034
11079	RER1	retention in endoplasmic reticulum sorting receptor 1	-0.533	1.502
9651	PLCH2	phospholipase C eta 2	1.464	4.224
440556	PRDM16-DT	PRDM16 divergent transcript	1.721	4.565
