GeneID	Symbol	Description	log2(fold change)(Non-lesion-PsA vs lesion-PsA)	-log10(Pvalue)(Non-lesion-PsA vs lesion-PsA)
729737	LOC729737	uncharacterized LOC729737	-1.047	1.817
112268260	LOC112268260	uncharacterized LOC112268260	-1.073	3.746
9636	ISG15	ISG15 ubiquitin like modifier	-3.121	15.431
112267874	LOC112267874	replaced by ID 105378948	-1.54	7.576
401934	RNF223	ring finger protein 223	-1.982	7.414
7293	TNFRSF4	TNF receptor superfamily member 4	-1.637	10.586
118424	UBE2J2	ubiquitin conjugating enzyme E2 J2	-0.639	6.606
6339	SCNN1D	sodium channel epithelial 1 subunit delta	-1.782	5.006
126789	PUSL1	pseudouridine synthase like 1	-0.699	3.238
83756	TAS1R3	taste 1 receptor member 3	1.287	1.923
54998	AURKAIP1	aurora kinase A interacting protein 1	-0.534	2.52
55052	MRPL20	mitochondrial ribosomal protein L20	-0.632	2.826
55210	ATAD3A	ATPase family AAA domain containing 3A	-0.675	4.084
339453	TMEM240	transmembrane protein 240	0.72	2.346
643988	FNDC10	fibronectin type III domain containing 10	-0.802	3.434
105378586	LOC105378586	uncharacterized LOC105378586	-0.732	1.601
8511	MMP23A	matrix metallopeptidase 23A (pseudogene)	0.573	1.596
9906	SLC35E2A	solute carrier family 35 member E2A	0.562	1.519
2563	GABRD	gamma-aminobutyric acid type A receptor subunit delta	0.968	2.054
100506504	PRKCZ-AS1	PRKCZ antisense RNA 1	0.882	1.68
6497	SKI	SKI proto-oncogene	0.573	2.924
100129534	LOC100129534	small nuclear ribonucleoprotein polypeptide N pseudogene	0.966	1.941
11079	RER1	retention in endoplasmic reticulum sorting receptor 1	-0.54	2.367
9651	PLCH2	phospholipase C eta 2	1.056	3.09
440556	PRDM16-DT	PRDM16 divergent transcript	0.893	1.838
63976	PRDM16	PR/SET domain 16	1.121	3.963
1953	MEGF6	multiple EGF like domains 6	0.78	1.818
57212	TP73-AS1	TP73 antisense RNA 1	0.752	7.094
388588	SMIM1	small integral membrane protein 1 (Vel blood group)	0.887	2.501
339448	C1orf174	chromosome 1 open reading frame 174	-0.572	2.853
26038	CHD5	chromodomain helicase DNA binding protein 5	1.616	4.218
11332	ACOT7	acyl-CoA thioesterase 7	-0.669	3.059
83715	ESPN	espin	1.114	4.707
57449	PLEKHG5	pleckstrin homology and RhoGEF domain containing G5	0.911	3.428
8863	PER3	period circadian regulator 3	0.524	1.713
3604	TNFRSF9	TNF receptor superfamily member 9	-2.398	11.59
11315	PARK7	Parkinsonism associated deglycase	-0.522	1.833
54206	ERRFI1	ERBB receptor feedback inhibitor 1	-0.785	4.856
473	RERE	arginine-glutamic acid dipeptide repeats	0.576	2.786
2023	ENO1	enolase 1	-0.661	5.032
765	CA6	carbonic anhydrase 6	1.466	3.525
6518	SLC2A5	solute carrier family 2 member 5	-0.532	1.789
9563	H6PD	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase	0.648	1.989
100526739	CENPS-CORT	CENPS-CORT readthrough	-0.885	4.513
378708	CENPS	centromere protein S	-0.898	4.66
10747	MASP2	MBL associated serine protease 2	0.762	1.615
6723	SRM	spermidine synthase	-0.719	5.817
2475	MTOR	mechanistic target of rapamycin kinase	0.542	1.633
100873935	MTOR-AS1	MTOR antisense RNA 1	0.887	2.487
10218	ANGPTL7	angiopoietin like 7	1.35	1.5
29914	UBIAD1	UbiA prenyltransferase domain containing 1	1.843	5.486
26270	FBXO6	F-box protein 6	-1.246	11.454
10459	MAD2L2	mitotic arrest deficient 2 like 2	-0.766	2.986
90231	KIAA2013	KIAA2013	0.516	2.463
943	TNFRSF8	TNF receptor superfamily member 8	-0.58	1.616
7133	TNFRSF1B	TNF receptor superfamily member 1B	-0.593	2.598
55187	VPS13D	vacuolar protein sorting 13 homolog D	0.518	1.677
126767	AADACL3	arylacetamide deacetylase like 3	3.778	2.811
10630	PDPN	podoplanin	-0.501	2.199
55092	TMEM51	transmembrane protein 51	-0.909	13.264
79180	EFHD2	EF-hand domain family member D2	-0.617	4.771
79814	AGMAT	agmatinase	-1.188	3.339
284723	SLC25A34	solute carrier family 25 member 34	1.688	1.986
440567	UQCRHL	ubiquinol-cytochrome c reductase hinge protein like	-0.625	1.62
23013	SPEN	spen family transcriptional repressor	0.516	1.666
27129	HSPB7	heat shock protein family B (small) member 7	0.791	1.724
348487	FAM131C	family with sequence similarity 131 member C	0.772	1.516
1969	EPHA2	EPH receptor A2	-1.21	6.326
101927479	EPHA2-AS1	EPHA2 antisense RNA 1	-0.89	4.202
101927546	ANO7L1	anoctamin 7 like 1 (pseudogene)	-0.843	4.253
55707	NECAP2	NECAP endocytosis associated 2	-0.513	2.489
107984921	LINC01772	long intergenic non-protein coding RNA 1772	0.618	1.33
114819	CROCCP3	CROCC pseudogene 3	0.953	2.518
55672	NBPF1	NBPF member 1	0.749	3.067
11223	MST1L	macrophage stimulating 1 like (pseudogene)	1.008	1.449
9696	CROCC	ciliary rootlet coiled-coil, rootletin	0.749	2.093
6390	SDHB	succinate dehydrogenase complex iron sulfur subunit B	-0.568	2.091
11240	PADI2	peptidyl arginine deiminase 2	1.168	2.612
51702	PADI3	peptidyl arginine deiminase 3	1.748	2.311
23569	PADI4	peptidyl arginine deiminase 4	2.553	2.964
8659	ALDH4A1	aldehyde dehydrogenase 4 family member A1	-1.077	7.005
51154	MRTO4	MRT4 homolog, ribosome maturation factor	-1.129	7.432
100506730	LOC100506730	uncharacterized LOC100506730	0.733	1.882
440574	MICOS10	mitochondrial contact site and cristae organizing system subunit 10	-0.612	1.904
23252	OTUD3	OTU deubiquitinase 3	0.516	1.731
64600	PLA2G2F	phospholipase A2 group IIF	-1.76	6.939
127733	UBXN10	UBX domain protein 10	1.425	8.367
55450	CAMK2N1	calcium/calmodulin dependent protein kinase II inhibitor 1	1.103	5.005
978	CDA	cytidine deaminase	1.331	5.672
65018	PINK1	PTEN induced kinase 1	0.698	9.754
102464833	MIR6084	microRNA 6084	0.795	2.677
249	ALPL	alkaline phosphatase, biomineralization associated	-0.665	2.431
998	CDC42	cell division cycle 42	-0.533	1.6
714	C1QC	complement C1q C chain	-0.808	2.583
713	C1QB	complement C1q B chain	-1.025	3.482
2048	EPHB2	EPH receptor B2	-1.947	11.28
148898	ZNF436-AS1	ZNF436 antisense RNA 1	0.697	2.031
1870	E2F2	E2F transcription factor 2	-0.782	4.692
105376860	LOC105376860	uncharacterized LOC105376860	-0.552	4.319
2582	GALE	UDP-galactose-4-epimerase	-1.079	8.909
3155	HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase	0.769	3.251
55629	PNRC2	proline rich nuclear receptor coactivator 2	-0.518	3.559
127294	MYOM3	myomesin 3	-1.058	4.177
57822	GRHL3	grainyhead like transcription factor 3	-1.402	8.772
400746	NCMAP	non-compact myelin associated protein	1.489	4.288
23585	TMEM50A	transmembrane protein 50A	-0.573	2.726
6006	RHCE	Rh blood group CcEe antigens	-0.577	3.245
55219	MACO1	macoilin 1	-0.856	10.843
3925	STMN1	stathmin 1	-0.723	3.099
100500808	MIR3917	microRNA 3917	-0.797	2.768
5051	PAFAH2	platelet activating factor acetylhydrolase 2	0.888	3.388
2134	EXTL1	exostosin like glycosyltransferase 1	1.648	6.317
7780	SLC30A2	solute carrier family 30 member 2	0.741	1.408
79927	FAM110D	family with sequence similarity 110 member D	0.554	1.614
51042	ZNF593	zinc finger protein 593	-1.115	4.56
91544	UBXN11	UBX domain protein 11	-0.533	2.423
1043	CD52	CD52 molecule	-1.247	5.648
3151	HMGN2	high mobility group nucleosomal binding domain 2	-0.559	2.339
2810	SFN	stratifin	-1.756	12.773
101928391	LOC101928391	uncharacterized LOC101928391	1.051	3.008
6548	SLC9A1	solute carrier family 9 member A1	0.573	2.187
23038	WDTC1	WD and tetratricopeptide repeats 1	0.531	3.677
8547	FCN3	ficolin 3	-0.925	2.763
388611	CD164L2	CD164 molecule like 2	-1.179	7.935
27245	AHDC1	AT-hook DNA binding motif containing 1	0.923	4.404
2537	IFI6	interferon alpha inducible protein 6	-3.311	18.288
5511	PPP1R8	protein phosphatase 1 regulatory subunit 8	-0.567	2.588
9473	THEMIS2	thymocyte selection associated family member 2	-0.912	7.128
5724	PTAFR	platelet activating factor receptor	-1.358	17.582
22826	DNAJC8	DnaJ heat shock protein family (Hsp40) member C8	-0.552	2.287
93974	ATP5IF1	ATP synthase inhibitory factor subunit 1	-0.529	1.411
54797	MED18	mediator complex subunit 18	-0.62	2.634
1104	RCC1	regulator of chromosome condensation 1	-1.261	13.647
8420	SNHG3	small nucleolar RNA host gene 3	-1.74	16.314
54952	TRNAU1AP	tRNA selenocysteine 1 associated protein 1	-0.679	2.389
2035	EPB41	erythrocyte membrane protein band 4.1	0.693	3.025
51102	MECR	mitochondrial trans-2-enoyl-CoA reductase	1.081	3.305
10076	PTPRU	protein tyrosine phosphatase receptor type U	1.004	6.902
7805	LAPTM5	lysosomal protein transmembrane 5	-0.744	4.743
9410	SNRNP40	small nuclear ribonucleoprotein U5 subunit 40	-0.642	3.214
1307	COL16A1	collagen type XVI alpha 1 chain	0.646	1.713
101929444	LOC101929444	uncharacterized LOC101929444	-0.849	2.051
576	ADGRB2	adhesion G protein-coupled receptor B2	0.665	2.602
8668	EIF3I	eukaryotic translation initiation factor 3 subunit I	-0.656	2.604
3932	LCK	LCK proto-oncogene, Src family tyrosine kinase	-1.257	6.847
3065	HDAC1	histone deacetylase 1	-0.736	9.363
339487	ZBTB8OS	zinc finger and BTB domain containing 8 opposite strand	-0.548	2.064
57648	KIAA1522	KIAA1522	0.597	3.676
8565	YARS1	tyrosyl-tRNA synthetase 1	-0.685	6.144
252995	FNDC5	fibronectin type III domain containing 5	1.415	4.708
3208	HPCA	hippocalcin	-1.061	6.731
113452	TMEM54	transmembrane protein 54	-0.977	6.345
127544	RNF19B	ring finger protein 19B	-0.955	6.138
204	AK2	adenylate kinase 2	-0.828	6.862
55223	TRIM62	tripartite motif containing 62	-0.779	3.622
127534	GJB4	gap junction protein beta 4	2.688	19.865
113444	SMIM12	small integral membrane protein 12	-1.04	5.103
5690	PSMB2	proteasome 20S subunit beta 2	-0.589	7.579
63967	CLSPN	claspin	-1.149	7.983
192670	AGO4	argonaute RISC component 4	0.608	3.739
