GeneID	Symbol	Description	log2(fold change)(SkinLesion-PsA vs HealthySkin)	-log10(Pvalue)(SkinLesion-PsA vs HealthySkin)
653635	WASH7P	WASP family homolog 7, pseudogene	-0.664	3.823
102466751	MIR6859-1	microRNA 6859-1	-0.736	1.607
729737	LOC729737	uncharacterized LOC729737	1.225	3.01
102723897	WASH9P	WAS protein family homolog 9, pseudogene	-0.614	2.708
102465909	MIR6859-2	microRNA 6859-2	-0.806	1.851
100132287	LOC100132287	uncharacterized LOC100132287	0.741	1.81
100133331	LOC100133331	replaced by ID 100288069	0.59	1.442
107984841	LOC107984841	replaced by ID 100288069	0.679	1.349
100288069	LOC100288069	uncharacterized LOC100288069	0.82	1.928
284593	FAM41C	family with sequence similarity 41 member C	-2.236	5.008
284600	LOC284600	uncharacterized LOC284600	-1.98	3.408
100130417	LINC02593	long intergenic non-protein coding RNA 2593	-1.961	4.675
107985728	LOC107985728	collagen alpha-1(III) chain-like	-2.286	3.101
84069	PLEKHN1	pleckstrin homology domain containing N1	-0.575	2.537
57801	HES4	hes family bHLH transcription factor 4	-1.187	15.688
9636	ISG15	ISG15 ubiquitin like modifier	3.449	13.883
375790	AGRN	agrin	0.587	1.946
105378948	LOC105378948	uncharacterized LOC105378948	-0.518	1.505
401934	RNF223	ring finger protein 223	0.718	1.976
406983	MIR200A	microRNA 200a	-1.021	1.599
554210	MIR429	microRNA 429	-0.783	1.536
8784	TNFRSF18	TNF receptor superfamily member 18	-1.354	18.336
7293	TNFRSF4	TNF receptor superfamily member 4	1.479	4.879
388581	C1QTNF12	C1q and TNF related 12	-1.115	2.489
101928895	LINC01786	long intergenic non-protein coding RNA 1786	-0.73	1.731
6339	SCNN1D	sodium channel epithelial 1 subunit delta	0.539	1.581
126789	PUSL1	pseudouridine synthase like 1	0.592	6.554
83756	TAS1R3	taste 1 receptor member 3	-0.91	2.289
441869	ANKRD65	ankyrin repeat domain 65	0.836	7.662
64856	VWA1	von Willebrand factor A domain containing 1	0.867	17.503
55210	ATAD3A	ATPase family AAA domain containing 3A	0.796	10.769
339453	TMEM240	transmembrane protein 240	-1.135	5.369
643988	FNDC10	fibronectin type III domain containing 10	0.845	8.093
105378586	LOC105378586	uncharacterized LOC105378586	0.614	3.204
8510	MMP23B	matrix metallopeptidase 23B	-0.824	5.194
8511	MMP23A	matrix metallopeptidase 23A (pseudogene)	-1.026	3.835
163688	CALML6	calmodulin like 6	-1.46	4.211
339456	TMEM52	transmembrane protein 52	-1.569	5.643
2563	GABRD	gamma-aminobutyric acid type A receptor subunit delta	-2.095	8.305
100506504	PRKCZ-AS1	PRKCZ antisense RNA 1	-0.986	1.905
105378593	LOC105378593	uncharacterized LOC105378593	-1.189	3.429
100129534	LOC100129534	small nuclear ribonucleoprotein polypeptide N pseudogene	-1.609	13.663
9651	PLCH2	phospholipase C eta 2	-1.774	12.736
127281	PRXL2B	peroxiredoxin like 2B	0.522	5.395
100287898	TTC34	tetratricopeptide repeat domain 34	-0.89	1.861
440556	PRDM16-DT	PRDM16 divergent transcript	-1.273	3.389
63976	PRDM16	PR/SET domain 16	-0.67	1.546
1953	MEGF6	multiple EGF like domains 6	-1.065	5.637
7161	TP73	tumor protein p73	0.664	3.412
57212	TP73-AS1	TP73 antisense RNA 1	-0.646	7.775
261734	NPHP4	nephrocystin 4	-0.51	3.124
8514	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2	0.66	7.946
26038	CHD5	chromodomain helicase DNA binding protein 5	-1.49	4.045
11332	ACOT7	acyl-CoA thioesterase 7	0.665	4.413
54626	HES2	hes family bHLH transcription factor 2	0.925	6.047
83715	ESPN	espin	-1.244	4.636
8718	TNFRSF25	TNF receptor superfamily member 25	-1.266	5.672
57449	PLEKHG5	pleckstrin homology and RhoGEF domain containing G5	-1.615	15.247
80835	TAS1R1	taste 1 receptor member 1	-1.193	1.822
3104	ZBTB48	zinc finger and BTB domain containing 48	-0.502	3.305
55735	DNAJC11	DnaJ heat shock protein family (Hsp40) member C11	0.517	6.57
105376689	LOC105376689	translation initiation factor IF-2	-0.799	2.276
3604	TNFRSF9	TNF receptor superfamily member 9	3.203	9.356
50651	SLC45A1	solute carrier family 45 member 1	-1.085	4.241
2023	ENO1	enolase 1	1.122	15.198
100505975	ENO1-AS1	ENO1 antisense RNA 1	0.687	1.574
765	CA6	carbonic anhydrase 6	-3.224	9.25
6518	SLC2A5	solute carrier family 2 member 5	0.75	3.368
80045	GPR157	G protein-coupled receptor 157	0.553	6.069
5293	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	0.61	5.03
56998	CTNNBIP1	catenin beta interacting protein 1	-0.692	8.599
116362	RBP7	retinol binding protein 7	-0.971	4.814
23095	KIF1B	kinesin family member 1B	0.501	2.693
105376725	LOC105376725		-1.638	2.669
5226	PGD	phosphogluconate dehydrogenase	0.99	7.978
10747	MASP2	MBL associated serine protease 2	-1.418	5.814
6723	SRM	spermidine synthase	0.785	5.937
10218	ANGPTL7	angiopoietin like 7	-1.915	1.971
29914	UBIAD1	UbiA prenyltransferase domain containing 1	-1.149	3.343
93611	FBXO44	F-box protein 44	-0.816	4.535
26270	FBXO6	F-box protein 6	1.097	8.739
57085	AGTRAP	angiotensin II receptor associated protein	0.839	6.932
284498	C1orf167	chromosome 1 open reading frame 167	0.844	8.527
4524	MTHFR	methylenetetrahydrofolate reductase	0.747	6.195
102465836	MIR7846	microRNA 7846	1.403	4.216
7133	TNFRSF1B	TNF receptor superfamily member 1B	1.102	7.086
126767	AADACL3	arylacetamide deacetylase like 3	-7.641	12.149
10630	PDPN	podoplanin	0.999	5.022
7799	PRDM2	PR/SET domain 2	0.609	5.141
23254	KAZN	kazrin, periplakin interacting protein	0.527	5.122
55092	TMEM51	transmembrane protein 51	0.877	15.334
114827	FHAD1	forkhead associated phosphopeptide binding domain 1	1.041	1.362
79180	EFHD2	EF-hand domain family member D2	0.993	21.219
84301	DDI2	DNA damage inducible 1 homolog 2	1.065	11.991
6248	RSC1A1	regulator of solute carriers 1	1.505	7.869
284723	SLC25A34	solute carrier family 25 member 34	-0.951	2.305
23013	SPEN	spen family transcriptional repressor	0.522	1.803
27129	HSPB7	heat shock protein family B (small) member 7	-2.009	11.063
1187	CLCNKA	chloride voltage-gated channel Ka	-2.731	7.012
348487	FAM131C	family with sequence similarity 131 member C	-0.847	2.169
1969	EPHA2	EPH receptor A2	1.729	22.792
101927479	EPHA2-AS1	EPHA2 antisense RNA 1	1.443	14.436
107984921	LINC01772	long intergenic non-protein coding RNA 1772	-0.769	2.603
114819	CROCCP3	CROCC pseudogene 3	-0.715	2.845
84809	CROCCP2	CROCC pseudogene 2	-0.52	1.574
11209	MST1P2	macrophage stimulating 1 pseudogene 2	-1.244	6.105
284729	ESPNP	espin pseudogene	-2.308	2.973
11223	MST1L	macrophage stimulating 1 like (pseudogene)	-1.288	4.266
105376805	LOC105376805	uncharacterized LOC105376805	-0.573	1.331
9696	CROCC	ciliary rootlet coiled-coil, rootletin	-0.802	2.952
4237	MFAP2	microfibril associated protein 2	-0.862	3.359
105376806	LOC105376806	uncharacterized LOC105376806	-0.974	2.843
11240	PADI2	peptidyl arginine deiminase 2	-1.455	4.588
51702	PADI3	peptidyl arginine deiminase 3	-1.247	1.379
55920	RCC2	regulator of chromosome condensation 2	0.683	8.261
127707	KLHDC7A	kelch domain containing 7A	2.576	5.898
8659	ALDH4A1	aldehyde dehydrogenase 4 family member A1	1.403	29.019
246181	AKR7L	aldo-keto reductase family 7 like (gene/pseudogene)	-0.764	3.283
22977	AKR7A3	aldo-keto reductase family 7 member A3	-0.706	3.626
100506730	LOC100506730	uncharacterized LOC100506730	-0.695	2.687
644068	RPS14P3	ribosomal protein S14 pseudogene 3	-0.708	1.963
5320	PLA2G2A	phospholipase A2 group IIA	1.968	2.165
5322	PLA2G5	phospholipase A2 group V	-1.095	1.524
64600	PLA2G2F	phospholipase A2 group IIF	1.663	16.279
127733	UBXN10	UBX domain protein 10	-1.605	10.138
55450	CAMK2N1	calcium/calmodulin dependent protein kinase II inhibitor 1	-1.733	11.982
163933	FAM43B	family with sequence similarity 43 member B	-1.078	1.921
978	CDA	cytidine deaminase	-1.096	2.856
1650	DDOST	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit	0.576	8.836
400745	SH2D5	SH2 domain containing 5	3.028	10.18
105376830	LOC105376830	uncharacterized LOC105376830	-1.525	2.584
100506801	ECE1-AS1	ECE1 antisense RNA 1	-1.007	1.355
249	ALPL	alkaline phosphatase, biomineralization associated	2.044	10.441
29092	LINC00339	long intergenic non-protein coding RNA 339	-1.009	13.472
105376845	LOC105376845	uncharacterized LOC105376845	-0.567	1.942
714	C1QC	complement C1q C chain	1.025	2.664
713	C1QB	complement C1q B chain	1.335	2.939
2048	EPHB2	EPH receptor B2	3.549	41.291
100422914	MIR4253	microRNA 4253	3.725	14.286
7798	LUZP1	leucine zipper protein 1	0.898	5.7
100996511	LINC01355	long intergenic non-protein coding RNA 1355	-1.004	3.826
148898	ZNF436-AS1	ZNF436 antisense RNA 1	-0.648	1.34
6920	TCEA3	transcription elongation factor A3	-1.039	17.047
1870	E2F2	E2F transcription factor 2	1.396	24.96
101928163	LOC101928163	uncharacterized LOC101928163	1.627	5.942
6135	RPL11	ribosomal protein L11	-0.696	4.95
6924	ELOA	elongin A	0.624	6.366
105376860	LOC105376860	uncharacterized LOC105376860	0.658	5.7
11313	LYPLA2	lysophospholipase 2	0.55	7.767
2582	GALE	UDP-galactose-4-epimerase	0.936	6.19
105376871	GRHL3-AS1	GRHL3 antisense RNA 1	1.886	6.07
57822	GRHL3	grainyhead like transcription factor 3	1.774	31.138
400746	NCMAP	non-compact myelin associated protein	-1.74	6.363
57035	RSRP1	arginine and serine rich protein 1	-0.773	3.747
55219	MACO1	macoilin 1	0.726	9.05
57134	MAN1C1	mannosidase alpha class 1C member 1	-0.58	1.906
57190	SELENON	selenoprotein N	0.508	3.119
56181	MTFR1L	mitochondrial fission regulator 1 like	-0.528	5.37
3925	STMN1	stathmin 1	0.605	2.998
5051	PAFAH2	platelet activating factor acetylhydrolase 2	-0.749	6.364
101928216	LOC101928216		-2.593	11.393
2134	EXTL1	exostosin like glycosyltransferase 1	-2.501	10.92
7780	SLC30A2	solute carrier family 30 member 2	-1.732	4.354
79927	FAM110D	family with sequence similarity 110 member D	-0.564	2.387
83442	SH3BGRL3	SH3 domain binding glutamate rich protein like 3	0.77	7.04
91544	UBXN11	UBX domain protein 11	-0.643	7.907
6195	RPS6KA1	ribosomal protein S6 kinase A1	0.579	6.34
8289	ARID1A	AT-rich interaction domain 1A	0.602	5.414
2810	SFN	stratifin	1.28	19.094
388610	TRNP1	TMF1 regulated nuclear protein 1	-0.725	3.597
101928391	LOC101928391	uncharacterized LOC101928391	-1.479	4.165
388611	CD164L2	CD164 molecule like 2	1.05	7.155
27245	AHDC1	AT-hook DNA binding motif containing 1	-0.683	3.996
2537	IFI6	interferon alpha inducible protein 6	4.176	19.088
9473	THEMIS2	thymocyte selection associated family member 2	0.756	2.995
5724	PTAFR	platelet activating factor receptor	1.853	24.495
83667	SESN2	sestrin 2	1.147	9.576
65979	PHACTR4	phosphatase and actin regulator 4	0.56	6
1104	RCC1	regulator of chromosome condensation 1	0.993	12.796
8420	SNHG3	small nucleolar RNA host gene 3	0.503	1.785
6080	SNORA73A	small nucleolar RNA, H/ACA box 73A	1.914	6.227
26768	SNORA73B	small nucleolar RNA, H/ACA box 73B	0.789	1.794
677825	SNORA44	small nucleolar RNA, H/ACA box 44	-0.785	1.821
115273	RAB42	RAB42, member RAS oncogene family	0.737	1.944
10691	GMEB1	glucocorticoid modulatory element binding protein 1	0.628	6.747
399474	TMEM200B	transmembrane protein 200B	-0.795	7.846
51102	MECR	mitochondrial trans-2-enoyl-CoA reductase	-0.666	1.854
10076	PTPRU	protein tyrosine phosphatase receptor type U	-1.059	9.221
4146	MATN1	matrilin 1	-0.718	2.49
100129196	MATN1-AS1	MATN1 antisense RNA 1	-0.839	3.935
7805	LAPTM5	lysosomal protein transmembrane 5	1.003	5.349
2170	FABP3	fatty acid binding protein 3	-1.173	5.163
347735	SERINC2	serine incorporator 2	0.524	1.689
105378626	LOC105378626	uncharacterized LOC105378626	-1.597	3.862
64129	TINAGL1	tubulointerstitial nephritis antigen like 1	-0.91	4.364
1307	COL16A1	collagen type XVI alpha 1 chain	-0.724	2.898
576	ADGRB2	adhesion G protein-coupled receptor B2	-1.391	9.584
339483	MTMR9LP	myotubularin related protein 9 like, pseudogene	-0.732	1.895
3932	LCK	LCK proto-oncogene, Src family tyrosine kinase	2.038	13.406
3065	HDAC1	histone deacetylase 1	0.805	18.721
81629	TSSK3	testis specific serine kinase 3	-0.728	2.937
100128071	FAM229A	family with sequence similarity 229 member A	-1.118	4.05
8565	YARS1	tyrosyl-tRNA synthetase 1	1.005	13.494
252995	FNDC5	fibronectin type III domain containing 5	-1.351	3.503
3208	HPCA	hippocalcin	0.731	4.788
113452	TMEM54	transmembrane protein 54	0.646	4.858
127544	RNF19B	ring finger protein 19B	0.835	8.079
55223	TRIM62	tripartite motif containing 62	0.961	14.439
100500853	MIR3605	microRNA 3605	0.561	2.25
7579	ZSCAN20	zinc finger and SCAN domain containing 20	1.001	6.189
2709	GJB5	gap junction protein beta 5	-0.683	5.248
127534	GJB4	gap junction protein beta 4	-3.777	22.691
2707	GJB3	gap junction protein beta 3	-0.69	4.079
113444	SMIM12	small integral membrane protein 12	0.527	6.324
100861513	ZMYM4-AS1	ZMYM4 antisense RNA 1	1.052	1.892
23154	NCDN	neurochondrin	0.663	6.293
339488	TFAP2E	transcription factor AP-2 epsilon	-0.698	3.957
5690	PSMB2	proteasome 20S subunit beta 2	0.728	7.983
63967	CLSPN	claspin	1.666	14.354
55700	MAP7D1	MAP7 domain containing 1	0.695	6.535
1441	CSF3R	colony stimulating factor 3 receptor	1.881	3.064
2899	GRIK3	glutamate ionotropic receptor kainate type subunit 3	-1.33	5.232
728431	ZC3H12A-DT	ZC3H12A divergent transcript	1.011	5.954
80149	ZC3H12A	zinc finger CCCH-type containing 12A	3.508	43.636
102465438	MIR6732	microRNA 6732	3.073	15.732
284654	RSPO1	R-spondin 1	-0.791	3.104
55143	CDCA8	cell division cycle associated 8	1.753	15.761
149175	MANEAL	mannosidase endo-alpha like	-0.758	2.626
4520	MTF1	metal regulatory transcription factor 1	1.114	9.559
5453	POU3F1	POU class 3 homeobox 1	-0.61	1.816
107985103	LOC107985103	replaced by ID 105378653	-0.814	3.272
105378653	MIR3659HG	MIR3659 host gene	-1.919	14.263
105378654	LOC105378654	uncharacterized LOC105378654	2.316	9.319
339442	LINC01343	long intergenic non-protein coding RNA 1343	2.065	6.463
64121	RRAGC	Ras related GTP binding C	0.532	8.471
353500	BMP8A	bone morphogenetic protein 8a	-0.85	2.86
192217	OXCT2P1	3-oxoacid CoA-transferase 2 pseudogene 1	-1.017	1.596
728448	PPIEL	peptidylprolyl isomerase E like pseudogene	-0.784	1.579
101929516	PABPC4-AS1	PABPC4 antisense RNA 1	0.512	6.023
656	BMP8B	bone morphogenetic protein 8b	-1.049	10.777
64064	OXCT2	3-oxoacid CoA-transferase 2	-1.086	2.039
84879	MFSD2A	MFSD2 lysolipid transporter A, lysophospholipid	-1.24	6.253
10487	CAP1	cyclase associated actin cytoskeleton regulatory protein 1	0.563	6.607
10269	ZMPSTE24	zinc metallopeptidase STE24	0.502	4.502
1298	COL9A2	collagen type IX alpha 2 chain	-0.643	2.65
64744	SMAP2	small ArfGAP2	0.675	8.703
65243	ZFP69B	ZFP69 zinc finger protein B	0.591	2.744
127396	ZNF684	zinc finger protein 684	-0.552	2.557
9783	RIMS3	regulating synaptic membrane exocytosis 3	1.129	7.805
9132	KCNQ4	potassium voltage-gated channel subfamily Q member 4	-1.137	3.338
1503	CTPS1	CTP synthase 1	1.285	15.456
100132074	FOXO6	forkhead box O6	-1.571	7.999
1907	EDN2	endothelin 2	-0.862	1.323
84217	ZMYND12	zinc finger MYND-type containing 12	-0.871	2.065
728621	CCDC30	coiled-coil domain containing 30	-0.502	2.753
149461	CLDN19	claudin 19	-1.203	2.352
374969	SVBP	small vasohibin binding protein	-0.583	2.832
6513	SLC2A1	solute carrier family 2 member 1	0.866	3.041
440584	SLC2A1-DT	SLC2A1 divergent transcript	-0.824	1.747
10969	EBNA1BP2	EBNA1 binding protein 2	0.607	6.07
149465	CFAP57	cilia and flagella associated protein 57	-0.67	2.127
105378685	LOC105378685	uncharacterized LOC105378685	-2.97	9.616
105378687	CDC20-DT	CDC20 divergent transcript	-1.217	6.136
991	CDC20	cell division cycle 20	2.137	21.007
112950	MED8	mediator complex subunit 8	0.755	9.42
107984947	MED8-AS1	MED8 antisense RNA 1	0.737	4.86
81888	HYI	hydroxypyruvate isomerase (putative)	-0.547	3.239
6487	ST3GAL3	ST3 beta-galactoside alpha-2,3-sialyltransferase 3	-0.909	7.565
9048	ARTN	artemin	1.024	2.163
105378688	LINC02918	long intergenic non-protein coding RNA 2918	-0.908	1.79
149473	CCDC24	coiled-coil domain containing 24	-1.022	4.745
339541	ARMH1	armadillo like helical domain containing 1	-0.915	2.996
11004	KIF2C	kinesin family member 2C	2.414	27.157
6202	RPS8	ribosomal protein S8	-0.774	7.35
94162	SNORD38A	small nucleolar RNA, C/D box 38A	-1.343	5.358
266675	BEST4	bestrophin 4	-1.774	6.987
8643	PTCH2	patched 2	-1.504	4.676
105378691	LOC105378691	uncharacterized LOC105378691	-0.869	2.362
400752	LINC01144	long intergenic non-protein coding RNA 1144	-0.936	2.621
84842	HPDL	4-hydroxyphenylpyruvate dioxygenase like	1.342	16.337
4678	NASP	nuclear autoantigenic sperm protein	0.52	5.693
728963	RPS15AP10	ribosomal protein S15a pseudogene 10	-1.041	2.604
23139	MAST2	microtubule associated serine/threonine kinase 2	-0.635	11.145
10103	TSPAN1	tetraspanin 1	-1.646	11.189
55624	POMGNT1	protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)	-0.756	23.98
541468	LURAP1	leucine rich adaptor protein 1	-1.016	3.349
8438	RAD54L	RAD54 like	1.178	10.73
2166	FAAH	fatty acid amide hydrolase	-0.508	2.299
729041	FAAHP1	fatty acid amide hydrolase pseudogene 1	2.993	17.534
148932	MOB3C	MOB kinase activator 3C	0.53	6.057
100130197	EFCAB14-AS1	EFCAB14 antisense RNA 1	0.739	1.565
1580	CYP4B1	cytochrome P450 family 4 subfamily B member 1	-1.072	1.526
163720	CYP4Z2P	cytochrome P450 family 4 subfamily Z member 2, pseudogene	2.545	8.922
199974	CYP4Z1	cytochrome P450 family 4 subfamily Z member 1	1.449	3.807
10158	PDZK1IP1	PDZK1 interacting protein 1	2.315	49.429
6491	STIL	STIL centriolar assembly protein	1.799	26.716
388630	TRABD2B	TraB domain containing 2B	-0.702	3.587
200010	SLC5A9	solute carrier family 5 member 9	-1.357	5.139
54558	SPATA6	spermatogenesis associated 6	-0.751	14.579
84871	AGBL4	AGBL carboxypeptidase 4	-2.966	9.59
79656	BEND5	BEN domain containing 5	-1.131	5.736
1996	ELAVL4	ELAV like RNA binding protein 4	-1.056	1.982
26994	RNF11	ring finger protein 11	0.69	11.723
22996	TTC39A	tetratricopeptide repeat domain 39A	2.3	98.773
5865	RAB3B	RAB3B, member RAS oncogene family	-3.85	30.751
4998	ORC1	origin recognition complex subunit 1	1.723	12.55
65260	COA7	cytochrome c oxidase assembly factor 7	0.767	7.073
55268	ECHDC2	enoyl-CoA hydratase domain containing 2	-0.572	2.055
6512	SLC1A7	solute carrier family 1 member 7	-1.205	3.298
7804	LRP8	LDL receptor related protein 8	2.155	30.858
105378726	LOC105378726	uncharacterized LOC105378726	1.689	7.903
148979	GLIS1	GLIS family zinc finger 1	-0.887	2.74
55706	NDC1	NDC1 transmembrane nucleoporin	0.614	4.49
26027	ACOT11	acyl-CoA thioesterase 11	0.555	2.474
338094	FAM151A	family with sequence similarity 151 member A	1.056	4.868
374977	MROH7	maestro heat like repeat family member 7	-1.481	8.087
55001	TTC22	tetratricopeptide repeat domain 22	1.161	20.996
199964	TMEM61	transmembrane protein 61	-1.772	5.549
255738	PCSK9	proprotein convertase subtilisin/kexin type 9	3.057	18.189
