	GSM3308425	GSM3308426	GSM3308427	GSM3308428	GSM3308429	GSM3308430	GSM3308431	GSM3308432	GSM3308433	GSM3308434	GSM3308435	GSM3308436	GSM3308437	GSM3308438	GSM3308439	GSM3308440	GSM3308441	GSM3308442	GSM3308443	GSM3308444	GSM3308445	GSM3308446	GSM3308447	GSM3308475	GSM3308483	GSM3308485	GSM3308486	GSM3308488	GSM3308489	GSM3308515	GSM3308516	GSM3308518	GSM3308519	GSM3308520	GSM3308521	GSM3308522	GSM3308523	GSM3308524	GSM3308525	GSM3308526	GSM3308527	GSM3308528	GSM3308529	GSM3308530	GSM3308531	GSM3308532	GSM3308534	GSM3308535	GSM3308536	GSM3308537	GSM3308538	GSM3308539	GSM3308540	GSM3308541	GSM3308542	GSM3308543	GSM3308544
CCR7	107	381	522	380	424	715	646	320	499	268	326	241	193	152	987	493	655	343	1094	631	563	168	447	1108	1221	710	1287	1447	2659	1089	2188	1808	564	1783	465	2053	407	1089	310	672	1175	1522	629	386	743	871	1143	1376	1020	863	1423	716	1419	679	558	645	514
MYC	248	470	615	272	349	571	598	666	549	396	320	199	204	266	602	960	365	577	583	417	473	190	510	1106	1259	695	1332	1098	1511	620	1359	1013	358	915	520	1003	290	951	270	468	633	763	766	320	474	312	682	822	813	593	887	690	895	733	284	677	438
FOS	22296	46740	46884	50308	46684	40941	35343	18666	55848	34775	39344	34967	15403	47157	25985	34691	74159	12952	7685	44038	41457	56001	46903	19325	4655	14735	24711	16107	11384	16149	36253	40012	7301	15293	27121	40737	77374	30618	36565	44374	57739	20194	4170	33439	13675	82548	89861	55929	33126	63782	37029	61814	51318	38870	61969	52731	66171
CCR6	38	65	147	45	51	154	79	38	90	30	105	95	87	16	105	72	57	117	159	72	47	67	72	92	118	134	91	463	436	279	268	311	104	195	65	238	54	185	46	91	93	157	96	75	108	103	121	105	87	96	128	95	115	95	54	124	79
JUNB	26574	50077	18954	54780	52521	32132	43937	34632	46114	44625	54433	53440	11973	36103	27082	69331	27132	16330	15185	43478	40710	41202	56317	24353	14982	15090	21623	14105	8480	10577	22859	17193	16066	10429	31759	17829	41520	28498	37225	25345	33970	15952	12555	32964	35821	32053	40161	26651	38192	49607	34696	50002	43540	37142	43426	47541	43263
GJB6	22	33	22	15	39	20	16	39	48	51	31	36	9	92	22	32	13	19	28	14	40	39	50	17	8	4	9	4	6	3	7	5	16	1	9	12	8	4	14	27	14	2	6	11	37	9	26	10	43	39	12	17	21	23	8	9	33
ZFP36	18624	32508	17164	31390	29263	22637	24555	23923	30893	28726	35749	36442	13394	26302	15591	48473	25928	8984	8870	23332	30000	23815	33685	17879	7822	7073	12623	13491	9928	11116	22499	16005	13682	11789	16136	21924	42111	15068	19852	18410	16542	14747	8075	17819	13352	32898	30462	23969	31430	39018	20574	81946	28362	19512	57686	60587	36305
IFNG	5	95	131	57	30	60	32	41	24	21	34	37	68	19	31	27	106	7	7	26	20	144	35	13	16	7	9	8	14	6	14	16	33	11	18	5	17	28	55	56	12	8	9	42	16	74	78	76	23	18	73	89	18	37	200	189	91
DDIT3	816	636	706	951	988	801	827	1056	747	901	1153	643	506	957	620	846	615	746	495	756	913	927	846	537	323	239	458	249	219	167	270	303	417	217	581	276	511	374	447	410	424	229	422	443	826	725	617	585	806	798	436	949	484	509	504	661	563
RORC	23	20	78	13	30	139	50	13	52	3	29	32	36	12	69	36	34	61	34	37	25	26	57	57	76	81	50	142	292	177	144	159	35	117	67	148	38	86	25	26	80	74	135	70	49	66	77	35	61	55	72	47	27	59	21	82	64
CXCL8	14269	40868	27037	49181	62059	38786	30976	25086	35808	32430	58462	32299	11591	14955	22229	16980	47195	12713	4876	41735	64868	43159	27905	13415	4842	11559	26568	10986	3621	6921	15955	7046	27758	14849	22828	26953	86505	65792	28261	66157	43100	18887	8873	40866	26869	119038	86428	68609	26530	66279	26599	149192	25141	27756	39295	99946	99361
