	GSM5629973	GSM5629974	GSM5629975	GSM5629977	GSM5629979	GSM5629982	GSM5629983	GSM5629985	GSM5629988	GSM5629989	GSM5629991	GSM5629992	GSM5629994	GSM5629996	GSM5630000	GSM5630002	GSM5630004	GSM5630014	GSM5630022	GSM5630026	GSM5630028	GSM5630030	GSM5630033	GSM5630036
TGFBR3	3344	2129	860	1764	2660	3689	1231	2654	1518	725	1942	1277	1304	1876	704	1372	964	1347	1126	215	492	457	682	388
RSAD2	144	133	857	180	111	187	995	73	57	645	50	142	933	82	515	332	2013	2620	317	42	85	49	53	47
IL36RN	1169	45	2673	163	514	1301	9822	1422	454	5327	200	8854	8249	1065	17388	7306	10911	38542	4944	4060	6898	721	1267	675
CD8A	89	62	533	193	125	190	766	157	63	313	75	193	188	63	236	1103	218	1125	57	96	203	93	22	83
FCGR1A	11	7	117	23	11	23	209	12	10	17	7	23	81	4	43	114	68	209	32	44	33	6	3	16
HERC6	354	339	1848	397	261	314	1992	204	173	1848	141	550	1444	176	844	564	3147	4114	569	76	230	66	87	40
NMI	671	364	2232	683	557	621	1655	327	434	1602	297	967	1344	430	723	956	1429	4680	1226	681	586	253	306	403
NOD2	352	211	1061	489	344	402	1088	492	314	503	127	968	1196	251	1096	680	1063	2495	295	217	444	96	102	63
HK2	793	664	1335	881	603	843	3685	761	1242	786	854	2825	2498	822	2972	2099	1997	5319	443	353	992	269	192	76
SERPINB1	1454	1041	2754	1312	1327	1478	9427	1277	861	2620	780	2381	2394	754	5653	3281	1448	19259	2343	1891	1673	406	614	655
GBP5	135	99	1030	242	106	240	1145	115	120	170	39	238	188	77	287	832	183	1701	97	86	102	60	43	47
TNFRSF9	13	28	226	67	7	18	102	23	15	22	9	47	38	10	96	230	18	259	21	33	28	9	4	6
EGFR	6609	6346	2130	3492	6478	6677	2778	6088	3320	1494	2934	3789	2629	3913	2727	2538	2060	5238	558	246	882	1077	1329	538
IL37	765	34	89	49	359	960	159	841	213	65	140	222	170	809	23	298	669	502	111	167	145	1004	855	596
PRDM1	334	188	911	318	214	530	1616	618	430	1011	163	1630	1508	593	1942	1341	1748	5201	741	340	822	285	268	132
SAMD9	191	171	582	177	192	291	1599	251	262	797	141	500	1060	254	1076	1179	2031	4165	370	122	270	77	59	38
HCAR3	349	114	793	190	210	294	4463	212	160	423	136	451	381	85	837	425	306	4787	181	143	216	111	111	82
NT5C3A	605	350	1260	746	511	734	2289	586	654	2944	538	3208	2773	702	2465	2405	3878	11971	3751	2040	2045	588	598	592
NKG7	51	20	204	69	36	83	258	42	43	35	39	45	106	25	85	293	116	456	55	56	75	13	25	26
IFIT3	739	623	4477	742	500	828	3875	430	360	1788	298	1007	2494	470	953	1374	4496	5532	1219	313	572	261	329	299
CCND1	9545	5754	2075	2850	6555	5938	2250	6446	3416	976	3513	1555	1961	5678	1756	2666	1139	2976	492	340	1232	1137	2294	749
FAXDC2	1897	986	442	1892	1392	2366	760	1036	2706	591	1771	753	830	1456	995	1047	754	2428	198	142	388	835	376	175
PLA2G4D	292	93	863	320	199	285	6144	349	307	3666	85	6630	5880	199	9588	3761	7235	25273	2108	572	4116	100	79	50
RORC	1280	694	143	701	564	895	157	574	580	147	593	118	194	462	95	175	123	197	35	20	65	227	326	119
ZNF415	259	190	130	197	254	178	76	119	181	94	129	53	96	165	61	120	86	317	49	43	30	61	44	64
FOS	904	1088	5229	949	510	759	900	805	325	257	268	292	375	328	206	462	233	1196	80	35	111	210	178	1032
AKAP13	3538	2779	1594	1756	2828	4202	2268	3797	1996	577	1217	2289	1726	2412	1450	2123	1070	3252	479	249	587	571	837	428
NAMPT	2396	1900	5149	2955	2050	3184	19581	3363	2363	8973	1926	8038	9235	1419	13443	6259	6829	43858	6207	9003	5075	1077	1392	1023
PDCD1	8	12	97	30	12	23	55	12	18	38	9	21	29	13	49	66	18	220	17	7	24	1	7	4
ZC3H12A	547	460	1318	1528	724	712	6893	824	773	2333	560	3862	4134	412	4680	2209	3854	12568	698	567	2409	90	108	60
IFI6	995	1873	8368	1237	761	1356	6549	919	517	13438	497	2147	8260	695	3464	1632	20396	39656	7394	1010	2350	287	965	483
STAT1	1844	1717	14555	2847	1714	2423	11179	2117	1756	5177	1351	4526	5741	1619	4629	8183	9468	16232	1635	1439	2088	915	1151	477
GBP1	573	464	8242	980	481	589	5428	596	528	1011	241	1189	1695	428	1314	2836	2312	6544	545	757	635	219	222	150
TYMP	1029	1155	16254	2537	1091	2093	16860	1428	1782	4799	931	5752	10372	800	8288	6919	9099	30119	1912	1875	4880	395	705	251
APOL1	594	392	1600	381	301	422	2380	305	273	740	142	922	979	248	1258	1537	1155	6776	153	231	297	97	115	66
PTGS2	21	30	141	26	24	49	1303	62	21	106	21	51	70	27	237	65	67	1751	22	22	32	4	23	20
CAPS2	109	105	37	69	116	146	42	67	74	20	40	44	29	49	14	27	40	77	25	26	15	20	33	27
SMOX	288	161	373	112	151	316	1346	353	182	360	107	1021	1221	312	746	574	2009	1906	315	298	796	200	263	35
