	GSM5629975	GSM5629976	GSM5629977	GSM5629978	GSM5629983	GSM5629984	GSM5629989	GSM5629990	GSM5629992	GSM5629993	GSM5629994	GSM5629995	GSM5629998	GSM5629999	GSM5630000	GSM5630001	GSM5630002	GSM5630003	GSM5630004	GSM5630005	GSM5630014	GSM5630015	GSM5630022	GSM5630023	GSM5630026	GSM5630027	GSM5630028	GSM5630029
YOD1	1086	420	287	681	2554	737	1391	569	2597	1076	2142	862	874	1178	1691	1078	1458	624	4526	852	5015	1137	1570	769	1016	491	1211	685
NMI	2232	540	683	735	1655	346	1602	510	967	417	1344	563	364	420	723	459	956	543	1429	567	4680	898	1226	686	681	409	586	331
GJB2	10782	3088	4122	5090	50370	5171	21045	2701	23164	5432	30694	3748	1189	1179	36058	2879	22747	6326	34017	4358	122883	2091	9977	959	9677	1948	19498	1039
CCND1	2075	6347	2850	7742	2250	4582	976	2945	1555	5616	1961	4992	5436	7121	1756	7504	2666	2373	1139	3124	2976	6881	492	2279	340	2798	1232	2871
IFI6	8368	937	1237	926	6549	324	13438	769	2147	607	8260	1348	468	1008	3464	748	1632	741	20396	692	39656	1333	7394	1661	1010	810	2350	728
GBP5	1030	179	242	209	1145	60	170	27	238	149	188	187	160	89	287	76	832	73	183	70	1701	201	97	70	86	55	102	69
MX1	2491	634	878	808	5529	384	2311	295	1589	564	3445	536	289	508	2032	525	1282	272	6384	279	7385	818	460	402	118	264	733	452
SERPINB1	2754	1295	1312	1675	9427	764	2620	1033	2381	1065	2394	1423	1012	850	5653	927	3281	1055	1448	1063	19259	1862	2343	1474	1891	1003	1673	717
RSAD2	857	139	180	112	995	73	645	96	142	110	933	88	54	87	515	106	332	83	2013	88	2620	160	317	170	42	49	85	94
GATA3	1194	3715	2635	5137	720	1588	1350	2175	1286	2993	922	2383	2602	3907	641	3808	1068	1528	1095	2160	2300	3238	643	2261	137	1596	550	1313
SLC7A11	62	54	33	36	353	77	249	19	291	62	223	23	29	56	362	65	174	20	227	37	717	28	114	26	119	16	93	29
CMAHP	310	566	341	661	346	247	121	172	145	315	148	319	394	329	129	628	164	266	107	261	303	902	169	334	144	325	40	140
ACKR2	72	65	20	56	302	18	60	23	181	40	246	32	36	23	360	32	185	20	308	19	609	67	73	66	49	14	98	22
CCL2	698	278	421	318	951	137	347	133	242	295	593	349	100	107	443	123	435	276	492	267	1956	274	291	213	212	164	226	102
CD8A	533	63	193	226	766	148	313	198	193	123	188	148	75	54	236	86	1103	205	218	141	1125	154	57	78	96	52	203	229
PRF1	241	70	76	108	407	52	87	27	64	82	95	94	36	35	128	53	316	56	85	39	547	67	53	52	22	23	60	61
TGFBR3	860	2725	1764	3767	1231	1907	725	1607	1277	2480	1304	2734	2924	2266	704	2968	1372	1228	964	1436	1347	3670	1126	2258	215	959	492	1364
CSMD1	16	54	22	49	0	33	11	16	1	39	21	48	19	33	18	53	12	40	2	34	51	70	2	30	0	31	3	4
PINK1	1376	2275	1662	4601	1207	2614	775	1706	1152	2649	1365	2827	2512	1660	735	1632	1472	2190	1406	2191	2632	2795	479	1487	325	1425	716	924
SELL	319	89	78	82	420	59	212	37	99	68	186	133	35	44	207	24	624	81	128	44	1075	64	49	40	47	38	116	47
GJB6	3800	2191	2184	2885	15630	2040	6192	1454	7651	2132	9672	1785	822	820	12514	2961	8023	3378	12124	2579	31307	1372	5414	1216	5792	1328	9688	1150
