	GSM6222621	GSM6222622	GSM6222623	GSM6222624	GSM6222625	GSM6222626	GSM6222627	GSM6222628	GSM6222629	GSM6222630	GSM6222631	GSM6222632	GSM6222633	GSM6222634	GSM6222635	GSM6222636	GSM6222637	GSM6222638
FUT2	514	1226	1450	591	857	821	585	874	945	74	169	108	123	167	87	128	99	103
ACP7	4366	6627	4074	5277	3884	3677	3347	3589	3897	468	624	277	623	649	629	359	344	495
TYMP	9497	30950	7858	18863	25128	21380	15144	8594	21539	778	2415	432	2030	1240	1491	942	1324	1398
APOL1	2230	9910	4964	2710	3511	5440	1616	1307	4203	242	247	207	192	302	235	418	382	359
XAF1	1294	6812	2266	5774	7118	4650	4218	1471	1643	411	351	308	1186	983	289	554	401	538
IL23A	22	67	29	34	43	38	44	16	57	6	19	20	9	6	12	15	17	6
MUCL1	331	410	894	716	2284	1374	1790	676	1698	1647	4229	2999	1612	1525	5480	5705	1838	2708
FOS	1165	387	493	861	1289	468	455	1189	672	3176	1249	2428	2538	3933	862	1800	2712	1399
JUND	3244	3525	3206	4793	3502	4106	2721	3340	4357	6747	7217	8089	4788	5302	6037	5000	10082	4473
JAK3	331	442	270	256	358	172	384	241	727	107	99	74	98	165	127	117	112	158
MX1	2436	16568	5935	7539	12256	9962	4929	2172	8424	396	360	366	667	348	307	376	682	613
ITGAL	320	484	328	259	325	186	332	342	549	103	95	27	93	169	95	100	59	195
EFCAB13	48	40	60	56	95	55	127	74	41	129	105	86	154	193	69	120	102	88
CD3E	423	549	345	271	293	225	246	271	490	110	116	24	86	133	60	68	51	141
KLRB1	62	33	116	71	44	37	55	44	146	16	26	4	9	15	14	15	8	16
ZNF415	56	19	58	41	80	104	95	27	63	96	135	86	283	198	206	229	66	212
NKG7	38	156	62	44	52	60	65	49	197	22	29	4	15	36	29	25	21	47
CCL2	641	649	569	216	511	384	407	945	1990	104	362	105	188	120	162	287	152	131
PI3	75302	127198	125561	57480	85380	74670	58951	19422	155270	105	273	89	116	165	114	130	124	135
